epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,755.937,1.60074,3.55394,0.01146,0.74969,0.6578,0.72151,0.38541,1.48911,1.89121,0.01117,0.000648649,0.000648649,0.000648649
2,1491.22,1.71728,1.41421,0.01279,0.69876,0.53738,0.58972,0.2672,1.81037,2.32451,0.01592,0.0013088,0.0013088,0.0013088
3,2159.07,1.78614,1.3039,0.01293,0.72077,0.62617,0.68799,0.30359,1.90623,1.99016,0.01554,0.00196236,0.00196236,0.00196236
4,2822.91,1.81868,1.35338,0.013,0.72595,0.66822,0.76344,0.30362,1.9593,1.42485,0.0164,0.0019703,0.0019703,0.0019703
5,3492.72,1.72725,1.22738,0.01187,0.7128,0.78037,0.76899,0.34355,1.83637,1.2528,0.01292,0.0019604,0.0019604,0.0019604
6,4144.46,1.75571,1.15195,0.01258,0.67509,0.74766,0.759,0.3742,1.76407,1.15627,0.01291,0.0019505,0.0019505,0.0019505
7,4809.07,1.74403,1.05825,0.01201,0.83329,0.74742,0.84489,0.36353,1.94329,1.16905,0.01453,0.0019406,0.0019406,0.0019406
8,5467.16,1.70161,1.06198,0.01233,0.81325,0.78505,0.83673,0.41067,1.79326,0.95771,0.01513,0.0019307,0.0019307,0.0019307
9,6126.63,1.70515,0.9599,0.01211,0.8568,0.72692,0.84656,0.3644,2.11666,1.09044,0.01553,0.0019208,0.0019208,0.0019208
10,6791.11,1.69032,0.99634,0.01254,0.77383,0.76636,0.83019,0.40744,1.82887,0.9182,0.01301,0.0019109,0.0019109,0.0019109
11,7448.39,1.67671,0.99424,0.01245,0.73825,0.71171,0.75853,0.33543,2.09973,1.25962,0.01623,0.001901,0.001901,0.001901
12,8106.35,1.66901,1.03365,0.01216,0.80195,0.75234,0.8229,0.34026,2.04443,1.12965,0.01629,0.0018911,0.0018911,0.0018911
13,8812.33,1.6588,1.00046,0.01223,0.80039,0.78699,0.87178,0.44044,1.673,0.91396,0.01283,0.0018812,0.0018812,0.0018812
14,9494.9,1.69442,0.96663,0.01194,0.83938,0.80841,0.86706,0.3783,2.06281,1.09051,0.01559,0.0018713,0.0018713,0.0018713
15,10163.6,1.65184,0.92328,0.01164,0.82489,0.63837,0.74977,0.28112,2.22786,1.33504,0.01897,0.0018614,0.0018614,0.0018614
16,10837.7,1.65675,0.90829,0.01153,0.83525,0.80548,0.86133,0.44028,1.8263,0.92519,0.013,0.0018515,0.0018515,0.0018515
17,11494.4,1.59918,0.89818,0.01119,0.84733,0.82989,0.89451,0.44913,1.80711,0.96716,0.01328,0.0018416,0.0018416,0.0018416
18,12158,1.62426,0.83235,0.01128,0.80418,0.84439,0.89223,0.43601,1.84487,0.79082,0.01476,0.0018317,0.0018317,0.0018317
19,12814.1,1.63267,0.86365,0.01156,0.82551,0.7757,0.83388,0.42373,1.67444,1.2024,0.01295,0.0018218,0.0018218,0.0018218
20,13472.7,1.54168,0.82685,0.01114,0.84395,0.8087,0.88969,0.46182,1.63225,0.79235,0.01307,0.0018119,0.0018119,0.0018119
21,14129.1,1.57427,0.81648,0.01134,0.83533,0.82243,0.87495,0.41615,1.8418,0.86152,0.01443,0.001802,0.001802,0.001802
22,14773.8,1.59375,0.79197,0.01145,0.85256,0.83766,0.89074,0.46475,1.78965,0.78925,0.01295,0.0017921,0.0017921,0.0017921
23,15440.6,1.54801,0.82283,0.01068,0.86323,0.78972,0.89594,0.47545,1.67502,0.84668,0.01141,0.0017822,0.0017822,0.0017822
24,16098.5,1.54197,0.76095,0.01141,0.8604,0.86405,0.89711,0.48157,1.69124,0.75593,0.01253,0.0017723,0.0017723,0.0017723
25,16756.6,1.54085,0.75952,0.0109,0.80407,0.7243,0.78266,0.40187,1.71102,1.22429,0.01302,0.0017624,0.0017624,0.0017624
26,17439,1.498,0.77503,0.01097,0.80017,0.80461,0.82967,0.38861,1.73396,0.88602,0.01447,0.0017525,0.0017525,0.0017525
27,18119.7,1.57415,0.75136,0.01082,0.85773,0.81702,0.89028,0.46258,1.63682,0.71883,0.01341,0.0017426,0.0017426,0.0017426
28,18769.2,1.5154,0.75123,0.01077,0.82732,0.82839,0.87375,0.45992,1.69361,0.78704,0.01243,0.0017327,0.0017327,0.0017327
29,19419.5,1.51749,0.75528,0.01055,0.8765,0.83178,0.8827,0.48829,1.58626,0.70722,0.01151,0.0017228,0.0017228,0.0017228
30,20067.2,1.53982,0.74232,0.01116,0.8723,0.82243,0.89709,0.42506,1.80714,0.76471,0.01483,0.0017129,0.0017129,0.0017129
31,20706.1,1.49758,0.74002,0.01075,0.88111,0.83645,0.90412,0.48385,1.67106,0.75315,0.01218,0.001703,0.001703,0.001703
32,21350.2,1.47514,0.71734,0.01074,0.89286,0.81776,0.88805,0.44524,1.68168,0.89898,0.01219,0.0016931,0.0016931,0.0016931
