epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,272.274,1.22544,4.86671,0.00821,0.00608,0.95092,0.28084,0.14852,0.86164,5.63536,0.0082,0.00042,0.00042,0.00042
2,484.606,1.1604,3.81359,0.00778,0.00644,0.84663,0.24786,0.15431,0.93281,5.21767,0.00932,0.000842972,0.000842972,0.000842972
3,762.287,1.16675,3.36809,0.00794,0.59191,0.29448,0.45018,0.27702,1.11303,4.65484,0.0115,0.00124852,0.00124852,0.00124852
4,1042.46,1.23056,2.90845,0.00828,0.58416,0.46012,0.59255,0.35092,1.22172,3.94304,0.01303,0.00163664,0.00163664,0.00163664
5,1323.46,1.26683,2.47094,0.00791,0.63805,0.60563,0.64228,0.37403,1.19598,3.43066,0.01316,0.0018416,0.0018416,0.0018416
6,1589.63,1.23683,2.30805,0.00893,0.73855,0.73006,0.77593,0.43743,1.24264,2.69277,0.01362,0.001802,0.001802,0.001802
7,1744.57,1.25864,2.07824,0.00912,0.80918,0.79755,0.82895,0.49931,1.19084,2.20177,0.01226,0.0017624,0.0017624,0.0017624
8,1955.72,1.24526,1.75993,0.00825,0.7792,0.68098,0.82207,0.48794,1.31651,1.97627,0.01481,0.0017228,0.0017228,0.0017228
9,2222.55,1.23542,1.66352,0.00857,0.80754,0.77225,0.84595,0.50983,1.29643,1.72692,0.01325,0.0016832,0.0016832,0.0016832
10,2444.23,1.22213,1.53444,0.00852,0.79395,0.80371,0.85953,0.53712,1.28103,1.52171,0.01407,0.0016436,0.0016436,0.0016436
11,2687.19,1.26,1.41108,0.00869,0.8455,0.72393,0.85147,0.51557,1.23293,1.40751,0.01315,0.001604,0.001604,0.001604
12,2933.27,1.18807,1.21924,0.00807,0.78529,0.83021,0.84774,0.50327,1.33496,1.38477,0.01409,0.0015644,0.0015644,0.0015644
13,3095.9,1.18723,1.14672,0.00775,0.88111,0.77297,0.87161,0.57246,1.21835,1.14752,0.0127,0.0015248,0.0015248,0.0015248
14,3260.26,1.19699,1.11766,0.00829,0.93026,0.77914,0.91452,0.56498,1.29388,1.0134,0.01404,0.0014852,0.0014852,0.0014852
15,3419.42,1.18934,1.00487,0.00777,0.84197,0.84663,0.91846,0.56501,1.25914,1.05349,0.01349,0.0014456,0.0014456,0.0014456
16,3572.05,1.21514,0.98989,0.00842,0.92357,0.81542,0.92002,0.56096,1.30889,0.92191,0.01429,0.001406,0.001406,0.001406
17,3729.06,1.212,0.92991,0.00822,0.88324,0.83537,0.90153,0.56383,1.22727,0.98071,0.01309,0.0013664,0.0013664,0.0013664
18,3898.42,1.2031,0.9118,0.00826,0.80058,0.78815,0.87332,0.53347,1.27169,1.04327,0.0133,0.0013268,0.0013268,0.0013268
19,4058.33,1.22965,0.89034,0.00853,0.85047,0.82209,0.90165,0.57861,1.21524,0.92076,0.01308,0.0012872,0.0012872,0.0012872
20,4262.26,1.14356,0.84883,0.00789,0.92481,0.83004,0.94144,0.60125,1.24776,0.77192,0.01371,0.0012476,0.0012476,0.0012476
21,4497.04,1.17476,0.85236,0.00805,0.90396,0.80844,0.91287,0.59123,1.24778,0.84094,0.01374,0.001208,0.001208,0.001208
22,4688.51,1.14863,0.79379,0.00809,0.88349,0.82822,0.92068,0.56091,1.31961,0.79089,0.0141,0.0011684,0.0011684,0.0011684
23,4885.1,1.18193,0.79479,0.00781,0.90447,0.85276,0.92389,0.56552,1.25955,0.76241,0.01355,0.0011288,0.0011288,0.0011288
24,5074.53,1.09851,0.74533,0.00774,0.92623,0.79755,0.9273,0.57132,1.26728,0.82316,0.01372,0.0010892,0.0010892,0.0010892
