epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,659.775,1.51907,6.06828,0.01133,0.6811,0.69159,0.73727,0.32928,1.6496,3.09239,0.01359,0.000648649,0.000648649,0.000648649
2,1241.3,1.69,1.8616,0.01325,0.5211,0.28982,0.29853,0.12182,2.36285,3.62785,0.01809,0.00130229,0.00130229,0.00130229
3,1803.73,1.88501,1.79706,0.01438,0.5618,0.56542,0.52398,0.17594,2.26968,3.877,0.01822,0.00194274,0.00194274,0.00194274
4,2386.58,1.83658,1.67277,0.0139,0.58514,0.43458,0.44702,0.17589,2.30987,2.22564,0.01873,0.0019406,0.0019406,0.0019406
5,2961.1,1.80045,1.49526,0.013,0.53517,0.41589,0.38144,0.14367,2.40785,2.31438,0.02174,0.0019208,0.0019208,0.0019208
6,3530.28,1.77919,1.30783,0.01348,0.65442,0.73447,0.74042,0.29894,1.95255,1.36703,0.01493,0.001901,0.001901,0.001901
7,4099.7,1.74794,1.27379,0.01315,0.78098,0.73316,0.80102,0.31175,2.12693,1.0904,0.0166,0.0018812,0.0018812,0.0018812
8,4674.1,1.74827,1.2374,0.01326,0.7338,0.74766,0.78152,0.39495,1.72878,1.01849,0.01269,0.0018614,0.0018614,0.0018614
9,5242.96,1.75693,1.18319,0.01303,0.74066,0.66729,0.73405,0.31752,2.01148,1.60397,0.01523,0.0018416,0.0018416,0.0018416
10,5824.12,1.77368,1.13679,0.01366,0.74494,0.66355,0.72326,0.30893,2.10436,1.32586,0.01646,0.0018218,0.0018218,0.0018218
11,6404.15,1.75163,1.06527,0.01335,0.80276,0.71495,0.8002,0.35058,2.02435,1.13107,0.01522,0.001802,0.001802,0.001802
12,7019.08,1.77664,1.06212,0.01366,0.76151,0.80374,0.79695,0.37915,1.83929,1.26785,0.01372,0.0017822,0.0017822,0.0017822
13,7622.61,1.70138,1.09585,0.01317,0.77203,0.80708,0.80898,0.41168,1.64333,0.9749,0.01233,0.0017624,0.0017624,0.0017624
14,8212.1,1.69324,1.04102,0.01268,0.7574,0.74299,0.80817,0.42792,1.7154,1.00576,0.01292,0.0017426,0.0017426,0.0017426
15,8800.63,1.62823,1.02279,0.01203,0.73294,0.74299,0.82135,0.43004,1.69973,0.90196,0.0125,0.0017228,0.0017228,0.0017228
16,9390.9,1.65618,0.98234,0.01208,0.84991,0.7757,0.84604,0.40699,1.85192,0.94051,0.01248,0.001703,0.001703,0.001703
17,9990.43,1.65401,0.9757,0.01226,0.81792,0.7557,0.8152,0.39038,1.77824,1.10482,0.01312,0.0016832,0.0016832,0.0016832
18,10572.2,1.64751,0.93076,0.01206,0.77264,0.74766,0.79634,0.40966,1.74755,1.17946,0.01238,0.0016634,0.0016634,0.0016634
19,11164.1,1.59461,0.93586,0.01139,0.77709,0.78972,0.84714,0.43028,1.70188,1.012,0.01221,0.0016436,0.0016436,0.0016436
20,11742.1,1.54464,0.88472,0.0114,0.81311,0.8271,0.85976,0.42885,1.78307,0.86504,0.01373,0.0016238,0.0016238,0.0016238
21,12311.3,1.59869,0.91005,0.01189,0.77511,0.74766,0.81303,0.41363,1.73623,1.07364,0.0134,0.001604,0.001604,0.001604
22,12883,1.59838,0.8594,0.01183,0.84513,0.74766,0.84379,0.43889,1.72501,1.04483,0.01242,0.0015842,0.0015842,0.0015842
23,13445.9,1.57178,0.85859,0.01159,0.78029,0.81308,0.82697,0.42468,1.70271,0.89374,0.01225,0.0015644,0.0015644,0.0015644
24,14012.1,1.63001,0.86288,0.01237,0.80037,0.76168,0.81953,0.404,1.91473,1.0249,0.01348,0.0015446,0.0015446,0.0015446
25,14580.4,1.58255,0.80643,0.01162,0.82657,0.83178,0.88114,0.46488,1.6291,0.77834,0.01179,0.0015248,0.0015248,0.0015248
