epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,321.221,1.34845,9.54274,0.00796,0.00411,0.83645,0.25135,0.14866,1.0439,14.6165,0.00718,0.000649573,0.000649573,0.000649573
2,624.598,1.34816,7.53546,0.0079,0.62643,0.30841,0.46082,0.23756,1.18404,11.753,0.00839,0.00130972,0.00130972,0.00130972
3,905.7,1.40108,5.64704,0.00883,0.61166,0.6729,0.64538,0.34559,1.41772,7.72391,0.01062,0.00196328,0.00196328,0.00196328
4,1203.76,1.45899,4.13647,0.0089,0.62854,0.72744,0.72135,0.36801,1.66212,5.15551,0.01295,0.0019703,0.0019703,0.0019703
5,1490.65,1.42186,3.16252,0.00943,0.75825,0.74748,0.81119,0.42777,1.68147,3.68313,0.01261,0.0019604,0.0019604,0.0019604
6,1764.54,1.4629,2.37979,0.00901,0.74063,0.71028,0.77058,0.45883,1.40258,2.75143,0.00996,0.0019505,0.0019505,0.0019505
7,2049.48,1.43662,1.95718,0.0088,0.64752,0.83267,0.78986,0.4297,1.50883,2.33879,0.01113,0.0019406,0.0019406,0.0019406
8,2334.51,1.48403,1.74774,0.00946,0.76648,0.78225,0.81811,0.48069,1.38836,1.84211,0.01019,0.0019307,0.0019307,0.0019307
9,2628.76,1.41438,1.52127,0.00876,0.7772,0.76614,0.82787,0.4776,1.40922,1.52943,0.00983,0.0019208,0.0019208,0.0019208
10,2908.6,1.41873,1.36923,0.00937,0.78983,0.84112,0.86709,0.51042,1.39843,1.3428,0.01004,0.0019109,0.0019109,0.0019109
11,3192.12,1.47844,1.28043,0.0092,0.81329,0.79439,0.85801,0.48885,1.4945,1.25937,0.01071,0.001901,0.001901,0.001901
12,3471.18,1.42355,1.23457,0.00885,0.80531,0.8271,0.8553,0.52786,1.35666,1.14004,0.01005,0.0018911,0.0018911,0.0018911
13,3759.42,1.37498,1.11682,0.00873,0.76893,0.86449,0.88234,0.52328,1.34423,1.13583,0.01018,0.0018812,0.0018812,0.0018812
14,4041.87,1.35791,1.12354,0.00892,0.81724,0.83581,0.87861,0.52161,1.36479,1.06919,0.01007,0.0018713,0.0018713,0.0018713
15,4320.47,1.36056,1.00913,0.00826,0.89685,0.77198,0.88892,0.51744,1.45981,1.05146,0.01046,0.0018614,0.0018614,0.0018614
16,4598.87,1.39061,0.97413,0.00852,0.89047,0.85514,0.91554,0.53104,1.44695,0.90204,0.00959,0.0018515,0.0018515,0.0018515
17,4864.64,1.41493,0.97317,0.00925,0.90087,0.80686,0.9053,0.52693,1.43229,0.90852,0.01054,0.0018416,0.0018416,0.0018416
18,5143.45,1.4023,0.96451,0.00891,0.86696,0.85047,0.91597,0.52482,1.46951,0.88693,0.01052,0.0018317,0.0018317,0.0018317
19,5420.98,1.34336,0.90375,0.00849,0.90875,0.83178,0.91299,0.54438,1.42879,0.81117,0.00976,0.0018218,0.0018218,0.0018218
20,5693.88,1.35068,0.89413,0.00815,0.88012,0.8271,0.89367,0.49885,1.50112,0.8378,0.0115,0.0018119,0.0018119,0.0018119
21,5973.89,1.38391,0.85175,0.0085,0.81129,0.86383,0.90537,0.51052,1.54631,0.85631,0.01107,0.001802,0.001802,0.001802
22,6253.91,1.39263,0.86219,0.00895,0.84727,0.83178,0.89072,0.47356,1.67146,0.94163,0.01278,0.0017921,0.0017921,0.0017921
23,6540.09,1.34544,0.81658,0.00864,0.84985,0.87383,0.90979,0.54353,1.49552,0.76887,0.01035,0.0017822,0.0017822,0.0017822
24,6825.97,1.32765,0.83251,0.00836,0.84429,0.84112,0.90196,0.53858,1.40405,0.82354,0.01007,0.0017723,0.0017723,0.0017723
25,7115.27,1.35344,0.82272,0.00857,0.81905,0.88836,0.90375,0.47964,1.62561,0.9663,0.0118,0.0017624,0.0017624,0.0017624
26,7399.66,1.3045,0.8072,0.0078,0.89742,0.84579,0.91859,0.5478,1.46295,0.79366,0.01054,0.0017525,0.0017525,0.0017525
27,7683.48,1.32928,0.79452,0.00828,0.83963,0.87383,0.89715,0.52072,1.51154,0.86959,0.01058,0.0017426,0.0017426,0.0017426
28,7962.37,1.29644,0.81613,0.00794,0.82828,0.85981,0.89011,0.50924,1.53876,0.90744,0.01102,0.0017327,0.0017327,0.0017327
29,8251.07,1.31486,0.79691,0.00814,0.88628,0.83178,0.92287,0.56565,1.43113,0.7284,0.01035,0.0017228,0.0017228,0.0017228
