epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,763.57,1.45173,4.41042,0.00969,0.777,0.65421,0.72604,0.41254,1.42867,2.68964,0.01112,0.000649573,0.000649573,0.000649573
2,1406.8,1.60836,1.44052,0.0106,0.74288,0.67508,0.72673,0.33591,1.81886,1.65845,0.0156,0.00130972,0.00130972,0.00130972
3,2062.57,1.65624,1.23078,0.01114,0.78545,0.78692,0.84642,0.42443,1.58263,1.42826,0.01256,0.00196328,0.00196328,0.00196328
4,2715.01,1.65263,1.12047,0.01087,0.61902,0.65421,0.62955,0.28998,1.99893,1.69983,0.01566,0.0019703,0.0019703,0.0019703
5,3347.48,1.72503,1.10012,0.01154,0.86485,0.78972,0.87643,0.44517,1.66347,1.00636,0.01323,0.0019604,0.0019604,0.0019604
6,3998.91,1.68067,0.98235,0.01105,0.75957,0.73364,0.76697,0.36644,1.97435,1.06631,0.01445,0.0019505,0.0019505,0.0019505
7,4651.21,1.69496,0.97151,0.01114,0.85431,0.75234,0.85026,0.43453,1.67277,1.02475,0.01241,0.0019406,0.0019406,0.0019406
8,5295.67,1.64364,0.96088,0.01028,0.83388,0.87383,0.90249,0.47685,1.63113,0.8009,0.01239,0.0019307,0.0019307,0.0019307
9,5991.26,1.58436,0.91839,0.01067,0.81064,0.85047,0.87702,0.47821,1.58744,1.2821,0.01203,0.0019208,0.0019208,0.0019208
10,6679.91,1.63341,0.93639,0.0108,0.82217,0.77778,0.81839,0.3855,1.82139,1.15229,0.01436,0.0019109,0.0019109,0.0019109
11,7395.3,1.64798,0.91759,0.01071,0.78393,0.76636,0.80823,0.4278,1.62229,1.04569,0.01211,0.001901,0.001901,0.001901
12,8065.99,1.60513,0.90457,0.01045,0.88331,0.84896,0.90654,0.49469,1.57958,0.73298,0.01129,0.0018911,0.0018911,0.0018911
13,8737.87,1.52028,0.85633,0.01027,0.76511,0.83178,0.85214,0.45535,1.61734,1.26528,0.01204,0.0018812,0.0018812,0.0018812
14,9424.02,1.52207,0.844,0.00945,0.87978,0.79439,0.87499,0.48173,1.56033,0.91165,0.01142,0.0018713,0.0018713,0.0018713
15,10087.8,1.51536,0.83267,0.00968,0.88972,0.79171,0.88269,0.45873,1.75727,1.02733,0.01256,0.0018614,0.0018614,0.0018614
16,10720.2,1.5639,0.83,0.01022,0.89902,0.79046,0.88596,0.47586,1.77261,0.85235,0.01236,0.0018515,0.0018515,0.0018515
17,11369.8,1.49284,0.79267,0.00969,0.881,0.83031,0.8939,0.4863,1.64844,0.97591,0.01206,0.0018416,0.0018416,0.0018416
18,12005.4,1.50682,0.81116,0.00957,0.88431,0.82155,0.89883,0.49917,1.5613,0.65428,0.01154,0.0018317,0.0018317,0.0018317
19,12654.4,1.47923,0.80487,0.00976,0.84001,0.83419,0.90135,0.46594,1.63904,0.76079,0.01344,0.0018218,0.0018218,0.0018218
20,13290.9,1.45384,0.80077,0.00931,0.86406,0.74766,0.78776,0.42555,1.63932,1.32037,0.01207,0.0018119,0.0018119,0.0018119
21,13946.9,1.49477,0.8206,0.00942,0.86762,0.8269,0.89641,0.50986,1.50951,0.74761,0.01074,0.001802,0.001802,0.001802
22,14597.7,1.4541,0.72693,0.00954,0.88432,0.89252,0.94239,0.51994,1.53723,0.62128,0.01113,0.0017921,0.0017921,0.0017921
23,15237.7,1.45851,0.75217,0.00924,0.86467,0.86588,0.91087,0.53226,1.4404,0.73287,0.01053,0.0017822,0.0017822,0.0017822
